lon;lat;height;stn;time;Temperatur (°C);Niederschlag (mm);Sonnenschein (min);Globalstrahlung (w/m^2);Luftfeuchte (%);Taupunkt (°C);Windrichtung (°);Windgeschwindigkeit (km/h);Böenspitzen (km/h)
544198;163650;859;VIT;201903141300;1.5;0;-;-;99;1.4;218;38.2;65.2
631150;128024;639;VIS;201903141300;4.8;0;0;101;72;0.2;283;27.4;40.7
780614;189634;2691;WFJ;201903141300;-8.9;0.2;0;309;80;-11.7;193;18.4;26.6
626404;233848;422;WYN;201903141300;4.2;0.3;0;54;92;3;247;22.7;52.2
693847;230744;485;WAE;201903141300;5.6;0;0;81;69;0.4;239;15.5;45
659355;265380;334;PSI;201903141300;5.5;0;0;46;79;2.2;-;-;-
624298;97574;1638;ZER;201903141300;-2.5;0;0;163;86;-4.5;45;20.5;28.1
681432;253548;443;REH;201903141300;4.6;0;0;61;84;2.2;248;15.1;24.8
685116;248065;555;SMA;201903141300;4.1;0.1;0;80;85;1.8;220;25.2;49.7
682710;259338;426;KLO;201903141300;4.6;0.1;0;60;84;2.1;229;24.1;42.5
